customer_id,transaction_date,amount
CUST_102,2022-08-31,14.98
CUST_435,2021-09-23,25.74
CUST_860,2022-11-16,9.81
CUST_270,2022-01-02,17.63
CUST_106,2023-06-08,29.0
CUST_71,2020-11-16,24.16
CUST_700,2022-07-01,15.94
CUST_20,2023-06-10,17.89
CUST_614,2021-03-12,33.71
CUST_121,2022-02-19,10.97
CUST_466,2023-11-27,11.0
CUST_214,2022-12-12,12.62
CUST_330,2023-08-29,19.98
CUST_458,2023-07-28,10.19
CUST_87,2021-12-26,32.35
CUST_372,2020-01-31,12.65
CUST_99,2020-12-02,22.47
CUST_871,2020-07-01,15.04
CUST_663,2022-11-12,19.44
CUST_130,2021-06-27,9.01
CUST_661,2023-01-02,33.14
CUST_308,2022-10-30,12.42
CUST_769,2021-10-21,11.79
CUST_343,2020-06-08,65.99
CUST_491,2022-11-03,26.5
CUST_413,2023-04-16,32.5
CUST_805,2021-02-15,25.27
CUST_385,2022-10-08,16.02
CUST_191,2020-02-22,10.45
CUST_955,2021-02-11,17.3
CUST_276,2022-04-26,12.32
CUST_160,2022-11-11,12.69
CUST_459,2022-11-19,9.1
CUST_313,2021-12-03,21.27
CUST_21,2020-09-16,44.11
CUST_252,2023-05-13,26.55
CUST_747,2022-12-18,19.05
CUST_856,2022-02-14,19.68
CUST_560,2022-11-01,4.38
CUST_474,2023-08-06,16.25
CUST_58,2022-04-29,9.84
CUST_510,2020-12-19,21.48
CUST_681,2023-01-03,17.64
CUST_475,2022-05-22,13.01
CUST_699,2022-09-17,21.24
CUST_975,2023-06-18,21.15
CUST_782,2022-10-14,42.92
CUST_189,2023-03-23,28.31
CUST_957,2023-01-24,22.39
CUST_686,2020-10-20,12.51
CUST_957,2020-07-27,11.74
CUST_562,2023-09-28,27.1
CUST_875,2023-01-16,18.17
CUST_566,2022-03-28,22.75
CUST_243,2021-01-24,32.75
CUST_831,2020-11-20,9.43
CUST_504,2022-07-28,40.39
CUST_130,2022-06-07,32.61
CUST_484,2023-03-26,7.19
CUST_818,2021-10-29,65.14
CUST_646,2021-09-24,23.59
CUST_20,2021-07-30,15.81
CUST_840,2020-05-16,26.04
CUST_166,2021-03-03,12.32
CUST_273,2021-09-03,26.39
CUST_387,2022-06-29,13.51
CUST_600,2022-03-29,55.16
CUST_315,2020-05-20,20.7
CUST_13,2023-01-11,27.8
CUST_241,2020-06-25,13.56
CUST_776,2020-07-16,30.21
CUST_345,2021-09-15,19.96
CUST_564,2021-11-21,9.92
CUST_897,2023-12-15,17.83
CUST_339,2021-02-04,52.75
CUST_91,2021-04-15,30.86
CUST_366,2020-08-05,16.62
CUST_955,2022-07-17,7.89
CUST_454,2021-09-23,13.25
CUST_427,2022-08-08,9.94
CUST_508,2022-06-24,7.98
CUST_775,2020-06-23,29.75
CUST_942,2020-01-23,20.72
CUST_34,2020-08-22,49.28
CUST_205,2022-11-02,12.2
CUST_80,2023-01-29,20.06
CUST_931,2022-07-17,10.0
CUST_561,2021-06-06,14.92
CUST_871,2021-03-06,17.97
CUST_387,2022-03-03,16.65
CUST_1,2021-06-16,20.63
CUST_389,2022-09-05,32.65
CUST_565,2023-08-09,30.98
CUST_105,2022-03-20,13.67
CUST_771,2022-07-01,19.78
CUST_821,2023-01-29,29.88
CUST_476,2023-08-20,33.71
CUST_702,2022-05-20,14.43
CUST_401,2021-06-23,28.62
CUST_729,2022-10-20,23.7
CUST_555,2023-10-10,11.79
CUST_161,2023-08-19,29.97
CUST_201,2020-08-14,21.67
CUST_957,2023-06-13,8.41
CUST_995,2022-05-22,17.34
CUST_269,2022-06-10,20.49
CUST_862,2022-11-02,14.84
CUST_815,2020-07-28,37.12
CUST_270,2022-01-10,37.8
CUST_455,2021-01-31,16.59
CUST_461,2023-01-28,15.7
CUST_726,2020-01-31,18.81
CUST_251,2022-06-16,18.17
CUST_701,2021-10-10,14.94
CUST_295,2020-11-24,3.14
CUST_724,2023-04-04,48.3
CUST_719,2022-08-09,20.09
CUST_748,2023-01-28,18.37
CUST_337,2021-09-12,23.63
CUST_878,2023-04-11,19.3
CUST_52,2020-06-10,16.2
CUST_791,2022-02-14,12.15
CUST_921,2023-07-10,8.01
CUST_216,2020-09-30,10.2
CUST_763,2022-10-23,11.49
CUST_187,2022-11-17,27.81
CUST_379,2020-11-21,28.86
CUST_492,2022-07-28,12.92
CUST_40,2023-03-18,5.3
CUST_156,2021-06-23,20.18
CUST_14,2021-05-02,16.27
CUST_812,2022-04-01,16.07
CUST_64,2022-12-24,32.39
CUST_856,2020-12-21,21.53
CUST_838,2023-06-29,12.33
CUST_520,2020-08-22,10.99
CUST_343,2020-08-14,17.61
CUST_128,2023-08-29,12.77
CUST_647,2020-02-18,19.37
CUST_471,2020-04-27,33.55
CUST_62,2020-02-23,10.08
CUST_138,2021-07-18,20.99
CUST_498,2022-12-03,31.74
CUST_592,2020-02-22,19.24
CUST_391,2021-07-11,28.81
CUST_674,2023-01-30,17.4
CUST_418,2022-05-17,21.88
CUST_288,2021-02-01,25.04
CUST_378,2023-03-07,15.09
CUST_772,2021-11-05,54.34
CUST_489,2021-01-21,26.81
CUST_230,2020-04-20,38.53
CUST_40,2021-09-05,34.31
CUST_27,2020-01-17,23.66
CUST_134,2023-04-20,40.16
CUST_200,2022-06-02,22.06
CUST_839,2021-06-24,13.94
CUST_779,2020-06-19,20.23
CUST_929,2021-02-12,12.14
CUST_32,2022-01-09,7.02
CUST_47,2023-11-02,13.11
CUST_502,2023-04-26,20.83
CUST_406,2022-05-07,34.16
CUST_573,2020-08-17,13.1
CUST_727,2020-04-28,33.28
CUST_804,2023-03-25,10.96
CUST_98,2022-02-22,12.68
CUST_683,2021-04-09,41.45
CUST_871,2020-04-13,20.57
CUST_725,2021-11-28,18.42
CUST_986,2020-06-23,22.59
CUST_546,2022-01-14,10.99
CUST_960,2023-12-15,17.02
CUST_738,2023-03-03,20.11
CUST_612,2023-11-15,37.18
CUST_942,2021-10-26,8.71
CUST_461,2020-02-02,48.5
CUST_642,2020-02-24,18.87
CUST_768,2021-06-02,11.53
CUST_4,2022-01-25,10.53
CUST_217,2020-01-12,23.02
CUST_502,2021-12-20,10.24
CUST_766,2021-07-08,15.18
CUST_397,2021-01-07,17.73
CUST_870,2021-04-28,35.58
CUST_794,2022-08-30,33.42
CUST_392,2023-06-05,14.56
CUST_206,2021-09-14,18.06
CUST_14,2020-11-02,9.05
CUST_857,2021-04-01,7.25
CUST_553,2020-06-08,10.86
CUST_891,2020-11-26,35.22
CUST_460,2022-02-14,29.67
CUST_690,2020-08-12,24.33
CUST_574,2022-09-09,9.69
CUST_863,2021-12-29,14.07
CUST_742,2022-12-04,13.08
CUST_240,2023-05-22,18.49
CUST_563,2022-12-18,17.91
CUST_95,2021-10-05,12.17
CUST_899,2021-09-07,23.92
CUST_733,2020-07-13,22.52
CUST_484,2021-05-03,13.95
CUST_406,2020-06-05,23.39
CUST_230,2021-09-01,35.24
CUST_748,2023-06-03,41.02
CUST_654,2021-02-15,25.67
CUST_170,2023-05-13,25.3
CUST_540,2023-01-07,17.81
CUST_35,2023-02-21,33.61
CUST_524,2021-04-15,11.76
CUST_159,2023-05-26,31.72
CUST_838,2021-05-30,17.4
CUST_698,2023-02-01,42.33
CUST_242,2021-01-27,26.95
CUST_85,2021-09-22,19.42
CUST_795,2021-08-30,17.85
CUST_577,2022-09-06,26.12
CUST_681,2021-03-09,25.5
CUST_556,2023-09-16,16.46
CUST_573,2023-03-12,21.03
CUST_952,2021-06-23,31.44
CUST_645,2020-10-04,10.16
CUST_795,2020-08-20,28.87
CUST_27,2023-01-18,26.07
CUST_619,2023-05-07,36.35
CUST_555,2020-12-27,14.04
CUST_339,2020-01-26,20.14
CUST_797,2022-11-14,22.25
CUST_957,2023-11-18,29.06
CUST_330,2021-05-21,24.89
CUST_639,2023-08-17,10.81
CUST_505,2023-09-24,23.23
CUST_347,2020-09-23,54.71
CUST_472,2021-04-05,27.27
CUST_230,2021-03-31,45.56
CUST_189,2023-10-15,33.84
CUST_224,2022-12-27,39.69
CUST_384,2022-10-03,23.45
CUST_376,2022-05-12,26.07
CUST_282,2023-12-06,22.82
CUST_957,2021-05-05,20.13
CUST_632,2022-12-08,29.11
CUST_627,2021-07-17,15.48
CUST_972,2023-01-30,51.56
CUST_744,2020-08-03,12.63
CUST_258,2021-07-12,30.14
CUST_358,2020-06-07,40.02
CUST_709,2021-05-03,18.39
CUST_455,2021-11-16,11.51
CUST_410,2023-06-19,35.79
CUST_648,2022-03-04,22.24
CUST_317,2020-01-05,30.16
CUST_676,2020-12-26,19.02
CUST_224,2021-04-03,47.75
CUST_818,2020-09-04,6.97
CUST_233,2022-08-03,24.24
CUST_683,2021-02-25,39.29
CUST_663,2020-01-15,21.17
CUST_974,2022-01-05,23.36
CUST_826,2023-02-19,16.17
CUST_373,2020-10-03,20.29
CUST_671,2021-03-28,8.71
CUST_607,2023-11-14,14.02
CUST_471,2023-08-10,13.55
