customer_id,transaction_date,amount,credit
CUST_102,2022-08-31,14.98,10.15
CUST_435,2021-09-23,25.74,7.56
CUST_860,2022-11-16,9.81,19.4
CUST_270,2022-01-02,17.63,14.3
CUST_106,2023-06-08,29.0,15.8
CUST_71,2020-11-16,24.16,37.84
CUST_700,2022-07-01,15.94,18.91
CUST_20,2023-06-10,17.89,19.8
CUST_614,2021-03-12,33.71,16.14
CUST_121,2022-02-19,10.97,19.7
CUST_466,2023-11-27,11.0,22.97
CUST_214,2022-12-12,12.62,80.83
CUST_330,2023-08-29,19.98,23.1
CUST_458,2023-07-28,10.19,35.92
CUST_87,2021-12-26,32.35,22.05
CUST_372,2020-01-31,12.65,7.29
CUST_99,2020-12-02,22.47,15.13
CUST_871,2020-07-01,15.04,23.09
CUST_663,2022-11-12,19.44,28.84
CUST_130,2021-06-27,9.01,22.31
CUST_661,2023-01-02,33.14,31.82
CUST_308,2022-10-30,12.42,9.68
CUST_769,2021-10-21,11.79,20.58
CUST_343,2020-06-08,65.99,39.02
CUST_491,2022-11-03,26.5,12.36
CUST_413,2023-04-16,32.5,35.17
CUST_805,2021-02-15,25.27,34.28
CUST_385,2022-10-08,16.02,10.82
CUST_191,2020-02-22,10.45,23.78
CUST_955,2021-02-11,17.3,21.75
CUST_276,2022-04-26,12.32,18.39
CUST_160,2022-11-11,12.69,9.36
CUST_459,2022-11-19,9.1,17.61
CUST_313,2021-12-03,21.27,18.58
CUST_21,2020-09-16,44.11,8.59
CUST_252,2023-05-13,26.55,10.46
CUST_747,2022-12-18,19.05,12.64
CUST_856,2022-02-14,19.68,11.89
CUST_560,2022-11-01,4.38,23.64
CUST_474,2023-08-06,16.25,31.68
CUST_58,2022-04-29,9.84,17.2
CUST_510,2020-12-19,21.48,29.46
CUST_681,2023-01-03,17.64,32.34
CUST_475,2022-05-22,13.01,19.25
CUST_699,2022-09-17,21.24,24.63
CUST_975,2023-06-18,21.15,17.96
CUST_782,2022-10-14,42.92,11.46
CUST_189,2023-03-23,28.31,13.83
CUST_957,2023-01-24,22.39,23.64
CUST_686,2020-10-20,12.51,18.9
CUST_957,2020-07-27,11.74,29.04
CUST_562,2023-09-28,27.1,7.82
CUST_875,2023-01-16,18.17,8.82
CUST_566,2022-03-28,22.75,9.35
CUST_243,2021-01-24,32.75,21.83
CUST_831,2020-11-20,9.43,10.08
CUST_504,2022-07-28,40.39,23.57
CUST_130,2022-06-07,32.61,29.27
CUST_484,2023-03-26,7.19,42.87
CUST_818,2021-10-29,65.14,40.57
CUST_646,2021-09-24,23.59,14.19
CUST_20,2021-07-30,15.81,8.72
CUST_840,2020-05-16,26.04,14.64
CUST_166,2021-03-03,12.32,32.73
CUST_273,2021-09-03,26.39,16.53
CUST_387,2022-06-29,13.51,19.84
CUST_600,2022-03-29,55.16,15.2
CUST_315,2020-05-20,20.7,44.28
CUST_13,2023-01-11,27.8,12.09
CUST_241,2020-06-25,13.56,20.77
CUST_776,2020-07-16,30.21,34.96
CUST_345,2021-09-15,19.96,50.44
